"HolderAddress","Balance","PendingBalanceUpdate"
"0x00071541c79bd7c486d9b289a5ac523fcdaaaa72","45600","No"
"0x0009f3c99b7fc614605e49f654824dd00cb2b744","50000","No"
"0x000fe52d4dd3a1c00ea794f9372acf3889a3ed75","0.24","No"
"0x001866ae5b3de6caa5a51543fd9fb64f524f5478","5000","No"
"0x00187fc21e0339bcb20fa74f6138850e6a07b333","1045533.71","No"
"0x00196dec5abb340a0487dd2516bbc7102595c45a","11200.74","No"
"0x001f435f38bbd0781feaead6cf990c66923a6914","23801.09","No"
"0x0023988c9ac7bd3c6a928d503d24e56e4970d25a","50","No"
"0x00260ddd1d175bf20c18f1407162db63b840b944","505592.15","No"
"0x002a166fbb8d071375550ac931dbad27abf52695","485066.93","No"
"0x002d98097538dbc97af5f776b792245878a9fad9","8822.64","No"
"0x0033bf4235d3caa6c8bc0abf63406ebae4897103","6812.4","No"
"0x00367851bcb68cc7198ba4dfc13dbff7fd678b2f","1280972.45","No"
"0x00436c77684db1730e5d9c6516fa7ecfff2e5816","157.44","No"
"0x00442b1a53d9162a283bda57be49dfd7e2354496","0.49","No"
"0x0049a88e84c370617c0e43a529a76600b40bce93","28471.3","No"
"0x004ae0e4435993f2e07dbdb3d32dafc78e36c7e5","1499.99","No"
"0x004e7e4fd9d6028ac5382f985703f8178d4feb79","1000","No"
"0x0051f89b9887640574248f5daa92c8d6a06f4b53","32499.88","No"
"0x0055759068ee1c298d7791a944fed82217c8651c","199204","No"
"0x005a728e74b613905638fb690af2f961bd4690c3","62150","No"
"0x005eeb3fdaa1c2217cb4c92860fe1a047f7d881d","44055.61","No"
"0x006b34aab111cca2f2a843df1826fd5d05e37ca6","100230.95","No"
"0x0073c270a12e68e3809987994f4fc456490e3423","36472.3","No"
"0x00799bbc833d5b168f0410312d2a8fd9e0e3079c","54938","No"
"0x007e4510819a846664acc1fa777976372f50fd5e","367009.2","No"
"0x007f7b32c15061d5a650c420a73bc92cfed8e293","3.96","No"
"0x0088a73ec5491418ccbc1d8ee97fcc3d99c80d61","70400","No"
"0x008b33e6236ea5cb6d7e0964f47402e65fa0b73d","4500","No"
"0x0091d6de7632a1a046c5e26848b0b93cff65d876","50000","No"
"0x0095b33fbe5a6187eb3e099fcafabdc238470b89","75","No"
"0x0098336cf7c2266a6145ef3d6eaf82634049d979","871744","No"
"0x0098cefcb6140c57f246b5d578304ca67126429f","680918","No"
"0x00992deccf69866c8a29204d84d2416696011fdb","122937.93","No"
"0x009c89c4ae416a3341f942a7def9e9f4223c8bb1","9499.98","No"
"0x00a117995f250cd08fcfea9abb69fdf5082fc885","0.04","No"
"0x00a14f8384a9d58eb672be90c5580a4dddf8b207","5","No"
