"HolderAddress","Balance","PendingBalanceUpdate"
"0x8abf1d08c5b535fbd061b39e7af83fc37b89b6b4","30","No"
"0xc2174033eff60f4cf0cd88a7e4e8d3d13bf49eb6","60","No"
"0xb320639aebfed2be8f67063b80c2234e548f13b0","30","No"
"0x766c9295009ddb2555e89c549e038f0b6304b229","30","No"
"0xede97d279dabb60410b8ef0d8884a53a6f33a331","30","No"
"0x9c5ae20a4abd94d0405110fb494534e2f0ed72d1","30","No"
"0x3156edcc20e8853159a0283df8bbc6e67b41a06f","30","No"
"0xefa4e0210fedc9ba3cf286aa83e4a243031ecf5b","30","No"
"0x354f6df0af80df8d0e65363837485c11f58e371f","30","No"
"0x6804a65a750aaa8d924768c7a099e8762764edb9","30","No"
"0x43e9cf399c707d73b47e65bec1917d664000f001","13000","No"
"0x8e71f2ce9eaf9ee00b6ef61efe7fdb6975d38c89","180","No"
"0xee5fa9a198761bdb3f536e798d7853efc8c1ec03","30","No"
"0xf23ea396d1ee6ecb82677cdf820e4e3c23350a67","30","No"
"0x3b40fb5fcbb2c41941b576aa28184a81874405e7","30","No"
"0x26febc7e9e08c70836b9a512d138b46c7e50c4a9","0.647","No"
"0x603b15e126a9c1db8b0668e82f5e506b41d53275","30","No"
"0xc6c7d1976d603ac9de1de36e0d20a9bcd6aad0ff","30","No"
"0xb89247d0ef4e64d1d50da9775b66c37a8eacd1d5","30","No"
"0x286c2bcdcd736c39a6b16f3982331dda40877e3d","30","No"
"0xdea586cf2584cbc5875534bfc649192482bf32c5","30","No"
"0xf2684136420a0c8b6a4720dac7c3bb903bd6f152","30","No"
"0xce2e0b96b170233d425b74ba640118eb5f59e90f","30","No"
"0xf06062f364ee99c01d26196ebd87e01ec81cafb2","30","No"
"0x73da0fae9086355d5c2d2c8b657f9e77cd6c5a89","30","No"
"0xaf91ae87682132457233dc2aa733ae528ba44c59","30","No"
"0xf40ebc782eb2f915c2ea1efa42ea579f8474fe09","30","No"
"0xa8f71a7a70db8f7c0884c0a8ab034fe79ffbf9be","30","No"
"0x6e61851aa4312e1bea08e63ef6037c55758fb34c","30","No"
"0x34b2cf5894ee3e0537e8f45cae265e68d4df4d8c","30","No"
"0xfe2642f45e1ca5b95a5e09eccc497644c5a6618c","30","No"
"0x7d568527214853f5f35d17306cca04e1ee2dc681","30","No"
"0x526e8c30629fedb5a8115edb0922ca2fad99d165","30","No"
"0xea73d839c2f8c6934e52b2ee03c7374dd22a7bb0","30","No"
"0x89e58f935e54d44764eebae1e262835c73fdb9f0","30","No"
"0x1f00d2e1137c2caf55d84da2a84ff3384a2baf92","30","No"
"0x5a4407a7ce5a9b57d36cc5ad60d28c9d14f1acdc","30","No"
"0x4ba759de968aa314c9b1475ebe7367b6f72ff7a5","30","No"
"0x9781e11fa8cc3a013e54a4479aa88255f65248bd","0.566","No"
"0x8a53501ad6450330e6f5397af182bfefbc159799","30","No"
"0x62cd5c1f49245079cd55abc2983583c9d6674641","480","No"
"0xe772fd7c870306f7cc093a7bcc99687c123719e7","30","No"
"0x862772a77f471da418313e3fb7680d570908b206","30","No"
"0xbdea1201c3720414a91efcc1a03343896ca04c32","30","No"
"0x09691ea33d5f0ed35c603ce66eda6896e2928900","30","No"
"0x6fd2d80444a5d635140fc5722d2a47b51aa1d160","30","No"
"0xebe7d10377ad8b869edc2d5a4c3482409df468a0","30","No"
"0x5e9855196a19895392d4274cac6e547c4322bfbf","30","No"
"0x530d0e2634b54612beb9f26f2b10bba43ccd8f36","30","No"
"0x7799d05ab1596a880b33ab21f342a5c581964e20","30","No"
"0xef6ea87a05f42a05f007c3e6c3598cfcca2df8e4","30","No"
"0xf150e7e9337894a07be393fd8587fd7d8ec81615","30","No"
"0xfc9331fd64088c0e6985557037e849ee1c885ed7","30","No"
"0x6c75377a1cb22725bd3f772f379db22774c593c6","1156.75","No"
"0xd4c940cdc62f0f7fd17fdbf2ad70ebf421f77e5b","30","No"
"0x2701e93823c9847b07076d3f9e4b0d6dcaa016e3","30","No"
"0xc8097f77c04142c1a5804f6d43743830cc628096","30","No"
"0x3ce9721f6ef79878b031f9b5819748dbce31846f","30","No"
"0xb4e22b89bf32c52eac44fc00f8968effa822bf95","30","No"
"0x5c1913732424ab8fb7d7407beff1845e2ad52304","30","No"
"0x6c0522e0c6968096aed383f35c03f37cbad976c5","30","No"
"0xbb35b376a665576cd21aab123bf93d478d0cf0c0","30","No"
"0x289ef58ba44b16f4f1869fec91f206e6f24ffdae","30","No"
"0x9970c3f6f51c7aec94c5200be00f40fc64496703","30","No"
"0x1064101992c95da5df0e5c040df18f1a80b5bccc","30","No"
"0x57175241d56397db7c6bd8340d8296a16049c27b","30","No"
"0x0cece9b38f73557d8c140ce6833d08403b77d570","0.1023","No"
"0xd85fa8ba34ff0ef33bf056bdf3d5da200c8b5eb6","30","No"
"0xbfa96862b6a1f467cce259787be3f4513beb4088","30","No"
"0xbd4694a35339ca8e5688c3c86db9a5611d86075e","30","No"
"0x007ac69b74fe61495ccc8262451ea2fc583ea40a","30","No"
"0x72db157e87c49cf4ded2f91f9f0ba559c09590ae","30","No"
"0x53431b1a6ae61917aac016c5f8ffaa410bef4126","5.1","No"
"0x611c29ea26b6b23a49aa88d0c352ca0720127fba","30","No"
"0x234e94cc04d71d609259bf4e97f787f23567dd6f","30","No"
"0x2c1700aa273c1c3d9b15d195ee1d4afd9f7c872e","30","No"
"0xd36674177c722ef5c9d387e807981a2fe7373ca2","30","No"
"0xbc98066d5d8c2d35629b92f8f0793f8776adc21c","1766.45","No"
"0x636829ebd4940965b3366cf146a936bc09301e3e","30","No"
"0x366f7effc26222dfe9fd3e4a9ae35e1fc6e7678c","30.64853923","No"
"0x3203732069469d91d394e3baf11488f649f3faa3","30","No"
"0x995be0131d8f03137061575ecb005599a69289dd","30","No"
"0xa2ef1a73d8b18a8b0f8083787f8919af198a25c1","30","No"
"0xd4bcefd47c2d092a5be630b7e0cd24a12d60a2d3","30","No"
"0xe2e2d1429261c136df218898bacd9d26cd54946e","30","No"
"0x4e314c44e3c68b62d6cc85c5283552cd2d87d337","30","No"
"0xaae4c093d69cb43f4edd6191040a83f7dec7a3f9","30","No"
"0x4768a9c485c46a23dd3d2fc3d48b9f91d181b880","0.00588235294117657","No"
"0x2233f2c73ce70873b551e67a09fc8d5946f32aff","30","No"
"0x256530ce969f76ece1cf66998aef0eab6a940fa8","30","No"
"0xe55ed4db7445216c705a52c55f9598b074c10b3b","30","No"
"0x5a7fb70e55af8a6a2caed12941ab7a52ddf50ba2","30","No"
"0x518e8121cfd6e7975cebbae608f1ed2e54e94e32","30","No"
"0xbfdbd10b20b556cc2b8fefe32485aa1ce0ea955d","3620","No"
"0x0f220277a0659227763c293966b186cab9681160","930","No"
"0x099390fead421eaeace27592ea2c2f7c95fb7bdc","5430","No"
"0x3f5f9358177b7a6d7a94ff67e6b498232500785b","30","No"
"0xb45b151c0dd63d4279e79327ff53c27fc5105ec5","30","No"
"0x3e6665d7f15f1af011419f689142240e00ed7681","30","No"
"0x6db09df4af38c71cdf73f5cf474307a208b5ffcb","4530","No"
"0xe018bcbc53d830fd890f46bd2f111c8a3656d806","30","No"
"0x6c92f41e236847896f892b122c5ab1f381ae5e86","30","No"
"0x8ff667401d89e932eb8045eb7c06fc59ce612e75","30","No"
"0x9b97dedaaaddddfeeb00d550fc11dbebe5504052","30","No"
"0x02c98099f8ff0ab9a660d76168b7885d7db1007e","30","No"
"0x0046409b2fde58e97cb338fa10e2a00c225f4cf6","50","No"
"0x5ea9139782321fef0c558bd3a9bb2069cef9d357","2730","No"
"0xd6a9e0fc5952f32007828ea122cb4b422dbcff8e","262.7","No"
"0x16c08e9cd9086dcc7dd6a3bbc8a5a2e141938dba","30","No"
"0x97d163c6506ef845bee877d84028cb99fe5167f4","0.0272","No"
"0x14ab7697bae6368a388bbc40724a9ae776bcaba8","917.27292","No"
"0x1fed54541285470244346d6df3e90e1853e862b6","30","No"
"0x00f7b412f16a0eb6e62b1c625fcea2cd63308594","31","No"
"0x99c435cbf79530f5451100185bc6c6be01a3a07d","30","No"
"0x40470172b0d8f6b93b56a288d647e381ab94c6bd","30","No"
"0x5e0dd4b7c50e12306d2dcd3a12a120d22fa08524","30","No"
"0x2b36ec9e6cd5396a12e0603609dca5a45cd821a8","5E-13","No"
"0x168c931d4655d9d663c00fa183ae332b55ca13a8","480","No"
"0x97263df7e57074e557aae5c58e06cfc9b8af4e8a","30","No"
"0x15789f3c8dbefc3cb3b14633569f4ae966517577","13530","No"
"0xf4b4dcdd06a101094c34d205203912f8816aacd2","30","No"
"0xae3463b25995d81a2dec3d7bb0a775c8f86f6ceb","30","No"
"0xf990f5437caac9a53ed67806fb588a0700bf1b90","30","No"
"0x352725bcc9455a806719743b645df6c5afb6489d","930","No"
"0x95a7bef91a5512d954c721ccbd6fc5402667fade","30","No"
"0x805857e6c150d4d21a5885e66c70b4154225fa41","30","No"
"0xd09661e69ae627de673e7716501cc96f009e00f3","3654.1328971","No"
"0x4dd3873d4bcde37c9b29769c058e1d3086b4c1c2","930","No"
"0xbb7309d53d8576a31708611d3255f54ced847e4a","30","No"
"0x0fdc5ba36f48d433c73781be2087cc85d7d2ee19","24","No"
"0x115557ea2609e121a6db8d2c07100565d351cc7c","930","No"
"0xfed779705ce2586501f70d18f5eefc5cd4f585e0","480","No"
"0xf5ec24e64d83f92c0bfe091bbb114ac626ba479a","30","No"
"0xf46f21925c7123db209f9be5606888483eb4689e","30","No"
"0x9d8498befb59399c139642d2dcea9eb05c47986e","894","No"
