"HolderAddress","Balance","PendingBalanceUpdate"
"0x7df5273ad9a6fcce64d45c64c1e43cfb6f861725","0.000186420522752748","No"
"0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98","8163166.17744459","No"
"0x8aa8c6b8897665d62d03e4c6dfc823142a4b44d8","0.002","No"
"0x3155674fccb839d6c229dbcc8463ccc32cb36710","2838473","No"
"0x31ba114e64d5c3c9b9123a3a19771b65c820a811","5268271.868","No"
"0xbac1e7dfbeb1de6a3a0dbd6bfc7e208d95a8ac5a","3.764E-05","No"
"0x54ec816d621e3507d5c3eaa8b13906cea867329b","9980800","No"
"0xf5acb0c315d1a66ef13fffe97fa3f2715ce3945e","4134649","No"
"0x619ebe843dc38a5e0e24689464e4ef8373eefe59","759981","No"
"0xb65379ae8a81bdb2035ab147e634ec38e22841dc","2805143.3335","No"
"0xbe6a53b740abb9ed76aee05b24e55963c0d1bfa9","0.49866792","No"
"0x0cabc8545bd19e1ce0b2d9f3ed6a604bf8ae46bc","2496157","No"
"0x12bb2d969b59ff2830c1c6d760a2b87e8204109c","2496157","No"
"0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88","579610.900998059","No"
"0xde89de20b209a39bd11eec53f656a29f9a27bc1e","1000540.9495","No"
"0x729442d6001e5a4542c3edc851ad1aa7ab5acc49","1317639.7856","No"
"0xceecb6e695ef283a0377243f75c7413c0358ceb9","1299007","No"
"0xf1a64b76492820692a340e828b2f42aaa6f6bcdd","859560.5065","No"
"0x190e018817732cf10cbeaa6285c444c241b4276a","1447087.28988039","No"
"0xb39ec688a27b14436e9f15a693da8605a3d0269d","79243.72024091","No"
"0x37022ebc4cfd91c471915f0cc55d1300f9d3281a","1000000.53322688","No"
"0x365a6dcc0145b3957341b67e882dcb3f335610d9","700000.4819","No"
"0xb9b57895220735cd61b43f1da1b77c36f8248439","1326484.24467636","No"
"0xc39d3476946d78b6218cb3b1fa7d18d33dc9a346","510632.96","No"
"0xfedc5d6810c2ba20f4ace1734e02cc82e9f8cdac","733498","No"
"0x8136f7f36dbdade77dc5664b67f625d46a100374","887517.399828779","No"
"0x51e90282abf446bea716d78fd0a685c665fe4ec8","1007601.0035","No"
"0x5c176e16d64787344518920bd8b1a7990800cca3","587279","No"
"0xc80d1e0cd0aa1e30d5ed5b6797fbcceec44f438a","159.28083445","No"
"0xce76cb39969d247bc6739740cec226cbd039a14c","250500","No"
"0x19184ab45c40c2920b0e0e31413b9434abd243ed","989967.55","No"
"0x9dbac64b64024a1c7accb76c847f8ae8c0e12659","709140.788350503","No"
"0x07f22ad9c3b1509f67cd9007ee3144b0fe53c313","625000.3335","No"
"0x2e566f081d51a0e1cf0730bdcd8441474b9acfad","650000","No"
"0xe4c3508b7d0949cd437931d1c2ad8482af207d04","549204.99356741","No"
"0xf062d1b3f658ad32f7896a76807b05ba7a9e7720","511975.674846738","No"
"0x9fe46adf05a196c12e6ad23cbbc6f86d6313dfef","100000","No"
"0xf35a6bd6e0459a4b53a27862c51a2a7292b383d1","1359898.1","No"
"0x33a64dcdfa041befebc9161a3e0c6180cd94fa89","809816.106223518","No"
"0xf1a4027abd058adab058adf87b5153ab0913777b","525225.5","No"
"0x62ef821972babe995d25f7fae30376008c6cf907","760415.93669617","No"
"0xc94bd34508b804dff3ad24ff722475b9fedf9fca","334537.6","No"
"0x814ad32244184ef76e46a3597de9def252d9697f","722243.98365","No"
"0xe0093f7a481f1545d4a656726735e544eb98ed93","200000","No"
"0xf2badecf0c986b6e4039af276494e744a9a0432f","193628.040795125","No"
"0x3b0703f631bed87385c5294f063071bcda94b4e3","455000","No"
"0xc7cebe7bba80c07f3a786fdedaa78355c21ff47d","499954.72","No"
"0x9f8858df0a85d42d3c8fd5c1d1c508aa0716a8cf","0.51345438","No"
"0x5b520e99129194105c465230d3cb6c9e4b172147","826413","No"
"0xa2fce8c49d8e83da13367a1d2f7d937f82797cc8","461700","No"
"0x4286a21658653eb261e3e55214e632c257380ded","448999.5333","No"
"0x7909fa8f960510010803dd200ddbc73b84182ccc","368612","No"
"0xcf8a4b99640defaf99acae9d770dec9dff37927d","400000.37774679","No"
"0x189168a1a635641e1629bc9f6485c0d5ea4f6d36","612842","No"
"0x90821538fcd66a354e1aca9e899c9eae8e749e1f","428419.18","No"
"0x308efe47e0bf9b8e39bb0001e5a252219d86c64b","291215","No"
"0x659c526b6b47d822d12fe2cda46984e14305c18d","647378","No"
"0x0172c0526a3e5f836ece2c9c529e064347ce2d66","253804.659768198","No"
"0x02352e6dcf0c77577222adee8c63d52243b5c33f","400000.000001742","No"
"0xe5e500d5c726fe768ca583c996e244d0d809a1c9","389500","No"
"0x9ba3560231e3e0ad7dde23106f5b98c72e30b468","47800","No"
"0x583f38ae30b98d6bcc4059978149e5b01a8c0c8d","376530.896448577","No"
"0x6fdb4f23bb3714b4b5508083d5679c7e0db93b14","510000","No"
"0xe0dc24a3d7478eb840dc63baa20fcb06cdb123be","496425.818561142","No"
"0x2f95f2daaacd4b65b3380037c3e589bbbd62916b","350644.585622473","No"
"0x11daeb7dce201b831d50874858094180668b67f6","4.358144E-12","No"
"0xd0ca459b7693b5a678916a630547369d1816565b","140325.304612271","No"
"0xe93fb6ec0b8fa6da90991f6616a02f88c3c4da28","300000.45876309","No"
"0xb6bf79f3dc8791157d370d6ca60f6a5c04b71a53","320940.4","No"
"0xf2ba7195abbf4fe16c377dfff3184dd26863d06b","289644.338215579","No"
"0xa88dd7bfdbb9c2ed23f29219cf218996a818aaed","344566.4731","No"
"0x31e1ac010df5fe4c0d7bdf2d01cb8d30eda5d771","606701","No"
"0xfd6d2d0a4b7df77645134c52a30d82583cc5f860","472701","No"
"0xd48238745b12deb8358cb57b3e43ff295f63cbab","389525.333335","No"
"0xd04c3a13144b746612cdac3f351b7d6620ad2763","100500","No"
"0xac7cfe89ebaafe95fc2a1bf25b904edd1dc485df","150000.2578","No"
"0x6929834248a6dab22aa18d35055a6a361d039658","620000","No"
"0xda27c862aea5758c20ce28b19bee0892e479ab77","0.1","No"
"0xb6d20582c36946cf6569124b6cac116753eacc61","263840.918268811","No"
"0x9aea09fa3a096cad0f84a58c4312342ba302398e","297437.5","No"
"0x8a466508b25051f4af541029176b444e978fa574","1.15E-05","No"
"0xf810b33ff97a5716047ed8bf3bf8c8edf6f0b428","240000","No"
"0x42bb28179d9d6ec16ccbbfdab6a0f45b956d6580","262231.0121349","No"
"0x31abe166b7dc59a8f257f29595c332ace33ae4a8","2.2542271627192E-05","No"
"0x7866dc4d9804a11b24c25b301e3fd0b15df91d7b","250000.33335","No"
"0xd53a50d90dc7c1a8e296f7e300944abb3693084c","200000","No"
"0x35fc61cd73b6a7ca117c9fcc3c8e6cbe17cbe95a","80000","No"
"0x90c98d4a4a6f98d7871b90ab6adde327fbcba0a1","3.4","No"
"0xfb6709b2fb3aa63cd95ddea3b7d1f43fb9033af1","559495.836378269","No"
"0x553b42a60692dd9fbe0a007ce45b2d7235dc055a","100012","No"
"0x7dbabf8334d12e06a19115997b82b63193dbf191","213239.99222886","No"
"0x71e3991af0cb5d0ecc55e947defac6bd70e769bf","180001.49721046","No"
"0x1131227670b93b8006111c435d63b7c6d996d3f2","93706.485","No"
"0x848e7da46bfce489d96a38be53b0f1f6c0326382","0.0005","No"
"0x3d3f592ecdd1aa02abeaf1f12d776182824ee4dd","95780.5606288607","No"
"0xcfef192778c385ceeb8eb4052fdf1fc274e48edc","154039.16257697","No"
"0x4e16d0ef66c8bd27a8b2b936020e5217f9dc8d28","0.15336847","No"
"0xe3534f90e367f5bd62af306d9f36804a82ba6cac","193431.203886317","No"
"0x2f81d872e6cfcd9596ae3d5494a321e8357a1f56","209000","No"
"0xe4b8b7c361612e065b87a10722639eefbdd265bd","101.9","No"
"0xe3bff000511a428e54d1b4bc203f6c4b7f2d1391","205000.11017769","No"
"0x04d0399c5deea178506ec1846c4fddc291fae552","204540","No"
"0x78f376d0a19bcf28ad091d0e08f540ac1cf80b84","146499.8","No"
"0x07630c38c3c2e00cd2e8aa2e849c5889733f2e6e","53300","No"
"0xb4e6a09ef445904b2da3dc978f7948acf9f77cf6","201895.9","No"
"0x4dc59c067aa5d064220f2572fd1acd8544ae3b15","101000.3389","No"
"0x99cb95bd9c30a04fbc30dde2f8b6caf2d600848f","50000.0000140468","No"
"0x63dbf00c99ead0635ff5adf2fd2f1f7f2141fc7c","20136.34146429","No"
"0xb50a9b583fcfe7da041b5db8bf2b876ef3812c6d","70008.44576189","No"
"0x79926e8bcce923473ec81c047e71b749459c22f7","150000","No"
"0x69eec86c1fe212e022e2e36743e993ba009d05cd","175000","No"
"0x5996c16781f5fc2404f6dd2f2d09c76b39acee23","197745.17686082","No"
"0x5cfdc6faeca3a60f13d50887479c48f8055875e9","91118.3808302047","No"
