"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","216.903914","No"
"0x0000000000002d534ff79e9c69e7fcc742f0be83","6E-08","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","1.67906209","No"
"0x000000000000cb53d776774284822b1298ade47f","2E-08","No"
"0x00000000007f6202ba718df41ec639b32dd7fbcf","1E-07","No"
"0x0000000000f4def5f3572c846b1483daf4588d8f","3.3E-07","No"
"0x00000000553a85582988aa8ad43fb7dda2466bc7","0.00147503","No"
"0x000000005736775feb0c8568e7dee77222a26880","2E-08","No"
"0x0000000094acb89a43eac2fbb3a07973efc2435c","0.00022118","No"
"0x00000000b7ca7e12dcc72290d1fe47b2ef14c607","3E-08","No"
"0x00000000c9fdd743c60055c0e4ea30d266272c1f","1E-08","No"
"0x00000319b4bf231cfb44d365863c878d2ff39d64","6.1E-07","No"
"0x000f82904bb9b12ac5556b88669de093427bb701","72.56089327","No"
"0x001022afb290a58be473cd352ff659d8846bb23c","224.4174952","No"
"0x002082bd37b03cfaa5c51a0a4330086b1bc1345d","2.77758621","No"
"0x002848284eb655a5a99250ffbb09605b8e624261","710.27411765","No"
"0x002aabf2d82d16221b1fee1ab1239cf3712673a4","177.92652","No"
"0x002bc47a4512d5597bf531344094697a3a2db826","0.65","No"
"0x002d63c2daa3e8e8785808f1dcfac1ebeef5707d","6.51972","No"
"0x0034203a7dd2e9975adaf44e146abecc0b93b992","9.2E-07","No"
"0x003afbc036526043e0e60bc658215f3e5298375b","87.3","No"
"0x004298d4f4388967d39562832d36be6b68203116","16.27","No"
"0x0043814246c2279d707a31533cb335d427655215","49.98","No"
"0x0051706a8261dba19fd8baffb85044cb8d0dabd8","9E-07","No"
"0x00551a47dbe0aaff548f238da6d78b0618337146","32.99","No"
"0x005765275f6cc1b0ce4d23767e0903ca3bf925b3","5","No"
"0x005b0743d8b2ed646499dc48b64b95e71b8afa43","238.2627","No"
"0x005c6f5297b0b4345c54d30a5d14b0b9e8a73cc2","242.59419005","No"
"0x0064f25d953db5e81134bc7b6ad240da688040cd","66.45","No"
"0x006bb81e3091e1fb123eff7fd34d86def42c4c2a","61.5","No"
"0x006e5fb1037b26d0cb7d13838a9e61fd8904e7cd","1.20891","No"
"0x007937cd579875a1b9e4e485a49ee8147bc03a37","0.04523808","No"
"0x007bb059bcc5a177760b6066dff2c6d5d02c4518","0.55","No"
"0x007e3f04ea206de7c9bf804a6b945ff19e7740d7","90","No"
"0x007ec846ca707efbf46d077b5af24ddc46232f0a","41.997969","No"
"0x008164cf7e0b11d18dc34374d6c8bc88844d6df2","21.36423291","No"
"0x0085289890ddcc6564ba364ef63f95dfd2eeab8b","31.84469901","No"
"0x008cd23181de3ba333e3e4c2addd7f89e8412f37","1111","No"
"0x009338baa7842966087953dded308360d9045d93","90.8","No"
"0x009980ce11da911461c2a07704c28558c0facc7b","2.2976","No"
"0x009ca63a4ef2965236f114873a6a0941bbb4fab7","25","No"
"0x00a7fe7c9f394cf9a1fed84c135aa4cff02f64d4","4.28337044","No"
"0x00af40871c38c5a3e4e6d2f382ba4e8f59704053","14.05569579","No"
"0x00af7f97657f7c9be757105296705658e9354ffb","181.41002757","No"
"0x00afaa15e3f7bc20472257e60720480176d60b2b","0.10000001","No"
"0x00b32ff033e8241843bbaa7403d6a729dd8bc1b8","0.2","No"
"0x00b63dc73447cadb78dfce341bd59b4e3cf6bca5","7442.23228","No"
"0x00b73697688bbb4ceec57c1271fe4a772029a511","0.00026528","No"
"0x00b89871578fcfdc4b6429e4f5e774169df6b8c5","48.09","No"
"0x00b9f546bd287a0d98978729a1e54bfeda687a39","0.76184114","No"
"0x00bf4c9e193ffe10c3ee5353056420c19b78a45b","141.5657114","No"
"0x00c2d816a254ff50919b400362b3f7671c72c169","2.3083","No"
"0x00c3481ef3211c9befba0a095473f19c319b6a84","20.28495042","No"
"0x00c39a917ff3caf238d24b7676b4ba1c8e3b9840","69.98815549","No"
"0x00c739c420db42bbd805bac561de44fe006dd421","265.48","No"
"0x00c9c0977d245fa1a56ebdade16292911c89c1cf","18.92947244","No"
"0x00ca60ca12dab072d4ceed51b1f76b8c8bbbe66b","2.807","No"
"0x00ce1977a8041cc1365b6ef59877d5ab7c759065","2.65486915","No"
"0x00d0282fae620aaac91a0e904b3db93eb02734b2","0.28","No"
