"HolderAddress","Balance","PendingBalanceUpdate"
"0xa5b7d615c99f011a22f16f5809890ca6900200a3","0.0002","No"
"0x016778fc8e6a3dd494e5270ce1cdd4b768ea4213","10008.07","No"
"0x0412a1d25fbdcabc536603198330021ccb13240b","338.57","No"
"0x0569a2073a5c573d9d41010f801834ae9848ca3b","0.2","No"
"0x057b17ab7ce1b666d0e4674543d5f86be0b9ab08","2121.5","No"
"0x060e8cf06492dc1c437206e56ce7d3775fe3c5be","9450.3","No"
"0x07189b816b4924e65001dd626aa8a63704648805","1","No"
"0x077f53629e690805f79e469cd1c4af35c260b38a","0.77","No"
"0x07dbd975d3201c4589d0d65824737b38fd135763","344.33","No"
"0x085b1df3094e6320f103d3b0639f2f9ee6f3d383","433.37","No"
"0x08c8d39a164463b2689a946471a0c6f94ea35ba2","682.3","No"
"0x08f6966d9def771ae53e99fdda257081233cc01f","1627.1","No"
"0x09b323c512b4780d43b17a9d3079f53e2a895b2a","1697.5114","No"
"0x0bae4eaad55a107029fccd05fb450792030724fa","784.33","No"
"0x0bea27cbb9ff547f494437fc2a77db21466af2a4","644.9674","No"
"0x0f98bb0b1633f697aa31d02dbbb64c9d49d4c7b3","397.63","No"
"0x112caa03c897d3b3de061b51f8a9146462bfa82b","339.47","No"
"0x1144c018da1d7821589cdfc6517f3f5841686df5","2.6984","No"
"0x11c1819c09febd762f9068491398ca9d9766657c","1980.93","No"
"0x11e9e5a865f836a0687fa8ec0f33287297570d32","122.93","No"
"0x12539c64a4ffe3b450b3b3bfa1687198668ff510","3492.9","No"
"0x129f6af5629f52d26d3ea7e9f90806feeaebf564","3.87","No"
"0x147173e1fa5279b7b6c11cb71abb5160909ad8d3","337.33","No"
"0x16f89c74db3e9d13220b2f43e80422e2d4c1401d","2001","No"
"0x18a58df53ed19433a667b0df521654858f94a325","1917.67","No"
"0x191816178d053fdb75bcef37005902740ae6b173","500.7","No"
"0x193a6782325883dc9c5137bad39aaac76a3ecb11","2032.17","No"
"0x19fc1cb6fc3c02f44a5be3f217e11e54e6f4ab7c","1974.33","No"
"0x1c2a00619d7c4bfaf56dc817c734135cce1a905d","0.08","No"
"0x1ee503efee6101e596bf1ad683a14c894d9939b5","1826","No"
"0x20158d9d59c40f85c008c2c53001a4b06e4e34df","1762.6","No"
"0x2024b35adeff1acdcbc53ad84d5119953009862d","370.67","No"
"0x20c94fcb8a9fe2d9b8273da84a934b08edb05ffd","791","No"
"0x2133465fb1fc012f15286903eedba26975460bfd","0.273","No"
"0x214036aff0b6f623eca1912afa7c4b2514c1d5bf","61","No"
"0x21f66793559365aa0c13ea165818e4367c9c5ed9","25000","No"
"0x2233ddf0b72eacad8fd47e3edbbe1de2d1b53d88","100.7","No"
"0x2400ed4440c6b88ce315a315b1fafd542d55cfcb","1002.79","No"
"0x240bb5a1ae9dedfdec93313ea3da4b30f47c6e2c","1768.47","No"
"0x243aa0b022d0dcaa075622131cd13b4912e6c865","1675.83","No"
"0x24af55bf8eff8d705c834df121be9729e714975e","0.73","No"
"0x2646a1d731d9494dc1cd1d2a11b22e0f5108158a","1714.07","No"
"0x269b879ad688f7b0657a162dbf42f61f95107bad","444.4","No"
"0x26d930fb5b8b73e80b6da2fdcc0ff2da482b7e6a","5782.63","No"
"0x286c85e20ac2838343ee65c8051cb9585ccd466d","1500.6965","No"
"0x2a9bd994390171ec77c9830ed7df04607197024a","1667.67","No"
"0x2c35f41ac3c1f38d39dc7ae5ff6ad91f95d837ea","350.73","No"
"0x2cbecf83157ecec4fcc69adca9435031a948fb92","5389.87","No"
"0x2cdec10aa8170ed6c46986e7e0c6e63ccb1e38d9","0.0021","No"
"0x2d923435185926e4b06505e24b51a22ecfa63e6d","560.33","No"
"0x2dc616bdf962c085e3f5306806a953852b228049","386.53","No"
"0x2dd0858184bde3aa6033a32359ae4027daf909f7","12.15","No"
"0x2e929ef0bc6b14d8bc16b3d70b545523058f4da1","5315.13","No"
"0x2f8b7792ba5791974c545e22611ef28b633fd59c","0.33","No"
"0x304c95539d3336e5ae55e743d4749ad508f0feaf","415.07","No"
"0x31344996805f38e17113d1d84630595b96bf1d47","3643","No"
"0x33fd99d794e2648931c1e19c869a238804c5803d","50001","No"
"0x346705463d3e56d1b92379d21c79e97653a4c8b9","1845.53","No"
"0x356bad871dca84996eb104aea1022ff699eb0ddf","942.9","No"
"0x35753d54fbdd2619e18ad51cd7fe2b48d827dbf2","372.77","No"
"0x3633316ea865ac3cc451ec760ec4ba6faad7ba09","397.47","No"
"0x365166bdea4c3a3e4518d1f44c69e5d5dbcda56e","224.73","No"
"0x3665a7506eea9e8d2b16b45ae106c04e6498fcee","459.81","No"
"0x36c752e81bce7f29f3bc67c8496d16966eed9f5d","417.67","No"
"0x3739d7c602c423caa4e3d208703fa69b61f9cac9","500","No"
"0x37a0fb0305d09577f16e4d298fd5872f2d24af43","411.57","No"
"0x38fe6b5ab66d9d90f05583ea28a7b8b79de78385","2212.8","No"
"0x3a98cc83998b1ab1e9052cf392b944236ac76e4d","715.5067","No"
"0x3d6c0750b3a5da1e5a0b8ee2d8c6bfcdf63168e5","384.93","No"
"0x40a2bdf789a8e3b9fc68d2f6a5bb670fcfc21bc4","370.67","No"
"0x40a2ccdafd9639b705a605059767fcc050cd9b44","2465.13","No"
"0x414ac625f192b5dd77544899d0bd60f3548ee382","0.82","No"
"0x41a3b6dbd13d0f4940b9ecbd0dfa466ef8d2eaba","723.9","No"
"0x4244b90f70c3475cbcebb9e5d11cc815dd8c6004","3082.27","No"
"0x42ccde7367dff5e9c050ab627422117f9981a360","4586.5","No"
"0x465f610c8ab7d5a320f526adb57ce2f1951bd41a","2.17","No"
"0x4712658479810585e6b84bce9190942f51f8675a","1668.57","No"
"0x478396703bcd9b8bc3eedc91f41d9ba68caaf254","368.6","No"
"0x488291c40659b78b41a98cfb985cd1a2da0b3696","3777.03","No"
"0x48b08694eea719c1ac7d86889b6e56770a032bcd","486.23","No"
"0x4a48e92300b976ed6ef8126dd9a739e4e838c608","60001","No"
"0x4a8d7f2a15520b9632e36c51718fcd8d22156b90","3843.07","No"
"0x4b921d78b7b42d3e6b6b2705339da3217a4a88c3","386.43","No"
"0x4b9f8eff0b24ba33235795b36f218d5df3e161d5","1012.9","No"
"0x4ca82f7002c2fd4d4724215f3cd67074dd9e1fe4","200.406","No"
