"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","23626.0520985909","No"
"0x000000000000000000000000000000000000dead","126621362.758866","No"
"0x000000000000000000000001a096bdaa6c98d97d","2.9563","No"
"0x000000000000000000000001c4991fa2fdf2a466","16","No"
"0x0000000000000000000000062480e5859b12ddad","94.9","No"
"0x0000000000000000000000066f3a410d3172eba4","10015.89","No"
"0x000000000000000000000006bc688c848fe183c1","0.01","No"
"0x00000000000000000000000a017c98c5ece92a4b","0.01","No"
"0x00000000000000000000000a1cb923e6a900b611","787.61","No"
"0x00000000000000000000000d308dd3c1f28e1312","1323.63981306358","No"
"0x00000000000000000000000e89230d0fb2b9e33c","16007.023","No"
"0x000000000000000000000011676b3ab1d5511044","311.884","No"
"0x000000000000000000000013db31e00325dc8795","10.01","No"
"0x0000000000000000000000177bdc4f6784459fbe","142.8771","No"
"0x00000000000000000000001921a75cd4ae71dbef","135.94356","No"
"0x000000000000000000000019a63697f65cf3c230","1595.1299","No"
"0x00000000000000000000001fc3e388b4c8aa7797","0.01","No"
"0x000000000000000000000025e55e08e16a585446","0.01","No"
"0x0000000000000000000000270ff9e775d83c076c","2770.908","No"
"0x00000000000000000000002959f79b18a44c6f2d","334.064","No"
"0x00000000000000000000002eb84c315fc97f9e04","37.57","No"
"0x000000000000000000000031a260d90f14cf0af1","73.4","No"
"0x00000000000000000000003274fe2eebdb2ad3ff","10912.66359895","No"
"0x0000000000000000000000339a398d07fe672db4","0.01","No"
"0x000000000000000000000038f8a873c0924c96a5","10851.077","No"
"0x00000000000000000000003a7ad8bdafde4861eb","161.19","No"
"0x00000000000000000000003b8e9023f2231a9635","1199.20313156","No"
"0x00000000000000000000003dd375bf640314589e","76.921","No"
"0x00000000000000000000003f00e2195477d53c9c","499.06508","No"
"0x00000000000000000000004c735b2084f2c6c964","50.049","No"
"0x00000000000000000000004ed46ac6b57f16d708","511.486","No"
"0x00000000000000000000004f9422caccac54c810","13.385","No"
"0x000000000000000000000052ee78d6cd9ba32cb1","64.988","No"
"0x000000000000000000000055c3cddb3183998ed3","37.961","No"
"0x000000000000000000000058038169d7f712c186","0.01","No"
"0x000000000000000000000059c6ad49404d1a5293","500","No"
